designation,period_hr,lcdb,p,red,amp,sens,verdict
(19911) Rigaux,4.6547190871798385,2.3274,0.053764934814086805,1.4473764208134225,0.18418000000000012,0.08865655620444107,halves = noise (LCDB likely right)
(20732) Snedeker,29.35936497278361,14.6977,0.03574799639086426,1.5118966430211127,0.39283999999999997,0.02604254187058535,ambiguous
(566) Stereoskopia,24.129622838530143,12.103,0.0315149920581334,1.531193863806868,0.029880000000000018,0.06530611166637885,ambiguous
(1611) Beyer,26.55837336619476,13.29,0.03003850611525985,1.5384704205543938,0.09316000000000002,0.04360884169743451,ambiguous
(68479) 2001 TX40,18.777088275155627,9.54,0.024071619880045976,1.5715795247652895,0.29403999999999997,0.05965080459179311,ambiguous
(8123) Canaletto,7.249566373775496,3.6249,0.023171677202519392,1.5772016246446137,0.49139999999999995,0.026004677666676256,ambiguous
(866) Fatme,23.189414173319012,11.6,0.014202460454758072,1.6476766952438644,0.04971000000000014,0.025193184259110966,ambiguous
(6843) Heremon,16.582273944228213,8.2865,0.010917615153937493,1.6843381698227555,0.16208999999999996,0.06542558229735124,ambiguous
(415) Palatia,41.46313903220235,20.73,0.008439537098872183,1.7195028837182973,0.09948000000000001,0.011664439740863959,ambiguous
(11395) Iphinous,27.400594761616752,13.704,0.008303803781470814,1.721695218324142,0.06635999999999997,0.08519616744733645,ambiguous
(17157) 1999 KP6,7.4232722931291235,3.72,0.007160252145640173,1.8432059464302994,0.17561000000000004,0.06996476485221657,ambiguous
(28) Bellona,31.40005975845925,15.706,0.004220389513673368,1.8110882889154454,0.04884999999999995,0.024585757097813188,ambiguous
(91256) 1999 CX80,2.874400429418606,1.43726,0.004064175263501297,1.8159575318584373,0.31495000000000006,0.02954885895029992,ambiguous
(424) Gratia,40.105343187891194,20.063,0.0032002148681475207,1.846561501915467,0.18303000000000014,0.009520447282675327,ambiguous
(3911) Otomo,39.452941995285656,19.64,0.001015147114411019,1.9882976887201351,0.19539000000000006,0.05288259761267027,ambiguous
(5401) Minamioda,7.902561011073781,3.949,0.0005463154188535263,2.0617156671320087,0.09845999999999999,0.06734230110715554,halves differ (ours likely right)
(983) Gunila,33.53367953849249,16.633,0.0005203399876231786,2.0674093543473,0.06574000000000002,0.043389398091193826,halves differ (ours likely right)
(1913) Sekanina,28.051822196389708,14.035,0.0003440675654378583,2.1153293793246677,0.1390800000000001,0.046570038094014055,halves differ (ours likely right)
(11) Parthenope,27.48177912333627,13.7204,0.000288144176371589,2.135654644667768,0.06327000000000005,0.01678256448870768,halves differ (ours likely right)
(20502) Madeira,75.48197418324715,37.3439,0.00026960232356702926,2.143243166956665,0.16011999999999993,0.0723799638039622,halves differ (ours likely right)
(3142) Kilopi,30.29610227760357,15.128,0.0002671265436722243,2.1442943130119736,0.04547000000000001,0.06301408322666276,halves differ (ours likely right)
(1092) Lilium,49.05637168602915,24.6,0.00023750476662791548,2.1576566595306508,0.22929,0.026096552684018896,halves differ (ours likely right)
(521) Brixia,57.71723763726982,28.479,7.966322175515997e-05,2.2794269378049417,0.08722000000000008,0.025691337212490378,halves differ (ours likely right)
(4805) Asteropaios,24.72152211685419,12.372,6.312754472366607e-05,2.3048444067600404,0.14561000000000002,0.07396095688516663,halves differ (ours likely right)
(3238) Timresovia,66.8344303814372,32.4941,4.911817501640185e-05,2.3909960723735035,0.22662000000000004,0.09449418785726722,halves differ (ours likely right)
(19753) 2000 CL94,93.18975307772776,46.1501,1.756936184343056e-05,2.4417848947286687,0.4162100000000001,0.034909662343728054,halves differ (ours likely right)
(3784) Chopin,20.978673858549403,10.503,1.684062968160023e-05,2.4462461667913593,0.1933100000000001,0.07939295409560795,halves differ (ours likely right)
(716) Berkeley,31.13540580283504,15.588,9.078444205585226e-06,2.5108271760619156,0.2400500000000001,0.016169281584322247,halves differ (ours likely right)
(63475) 2001 OB32,25.26748622136258,12.47,5.491401114041753e-06,2.5627295446834477,0.2417100000000001,0.10933912448697952,halves differ (ours likely right)
(1093) Freda,39.36259583437666,19.67,4.074093121976884e-06,2.5932965828937653,0.08601000000000003,0.019041337574230297,halves differ (ours likely right)
(379) Huenna,28.287874965110056,14.141,3.8358919516726545e-07,2.829372473318838,0.07816000000000001,0.026778204397398583,halves differ (ours likely right)
(13078) 1991 WD,14.100102208092892,7.0945,3.1226707925938727e-08,3.070652646109838,0.28524000000000005,0.02872623341581371,halves differ (ours likely right)
(13585) Justinsmith,100.36976279057512,50.281,6.561950660373607e-09,3.444360351170632,0.4564999999999999,0.05851944608960064,halves differ (ours likely right)
(10944) 1999 FJ26,25.091018580773746,12.578,3.2303572361712933e-09,3.282430101736866,0.23966999999999994,0.04700247434799977,halves differ (ours likely right)
(322) Phaeo,35.168947749203795,17.5845,2.8463963296558446e-12,3.911050926172297,0.05828000000000011,0.02275081836408744,halves differ (ours likely right)
(2518) Rutllant,7.514143914066361,3.651,2.561956637095842e-14,4.314984581417036,0.09528999999999987,0.09803158182394028,halves differ (ours likely right)
(1180) Rita,29.903536306467913,14.894,1.4887760968944615e-21,9.524026255066575,0.04899999999999993,0.06099385156484826,halves differ (ours likely right)
(2896) Preiss,47.297410667401046,24.0,1.450998145684206e-36,8.33660686024034,0.3816900000000001,0.03942687671972964,halves differ (ours likely right)
(1478) Vihuri,39.62808297811671,19.742,5.4326996539339727e-64,12.955329087461893,0.12019999999999997,0.055314268457941046,halves differ (ours likely right)
(137) Meliboea,51.319285228097485,25.676,1.8669919409615695e-73,15.341377262769893,0.10487999999999997,0.02087086833812029,halves differ (ours likely right)
(2206) Gabrova,10.137018738588516,5.076,9.592208709671034e-80,15.542611541879426,0.14739000000000002,0.025359083986109424,halves differ (ours likely right)
(3095) Omarkhayyam,23.797896456969127,11.92,8.548641386346792e-126,22.97496311537872,0.16337000000000002,0.06089185015875814,halves differ (ours likely right)
(4999) MPC,206.08269509154684,102.8,7.774914679105919e-138,24.898169394086832,0.5421999999999999,0.01484681252087373,halves differ (ours likely right)
(2950) Rousseau,36.03280453734114,18.228,3.531720099521502e-259,58.609718843216804,0.10300000000000009,0.024359513865761365,halves differ (ours likely right)
